Commodity_SCTG,UnitCost
1,1972.139533
2,129.4288719
3,514.1395374
4,344.4355263
5,3864.024384
6,1517.881629
7,1012.423267
8,2027.50325
9,17322.25243
10,437.7794719
11,19.19677964
12,10.49346172
13,97.0868206
14,364.5444425
15,32.11159652
16,433.447168
17,537.4759236
18,523.509896
19,486.2826
20,650.777189
21,56128.42914
22,337.191614
23,3125.482298
24,2938.398597
25,84.30199206
26,695.501258
27,934.2502146
28,1865.647418
29,4611.341396
30,12731.50958
31,193.6239097
32,1362.984533
33,3064.175356
34,8665.076573
35,17784.46484
36,7162.772383
37,30777.84105
38,43841.27203
39,5810.015482
40,6583.08023
41,81.87890811
43,3516.308013